Genome,Pan,Core,Accessory
252,37235.7,2116.3,35119.4
253,37367.1,2108.6,35258.5
254,37446.3,2106.9,35339.4
255,37502.4,2105.5,35396.9
256,37527.1,2105.1,35422.0
257,37561.4,2103.1,35458.3
258,37633.6,2101.8,35531.8
259,37678.5,2098.8,35579.7
260,37817.6,2079.1,35738.5
261,37926.4,2076.8,35849.6
262,37953.9,2076.1,35877.8
263,38004.5,2074.0,35930.5
264,38051.0,2072.3,35978.7
265,38095.8,2066.4,36029.4
266,38130.4,2065.1,36065.3
267,38228.6,2062.7,36165.9
268,38280.0,2061.8,36218.2
269,38317.6,2060.2,36257.4
270,38363.4,2058.2,36305.2
271,38406.5,2056.9,36349.6
272,38447.6,2055.6,36392.0
273,38492.8,2052.4,36440.4
274,38526.0,2047.9,36478.1
275,38573.7,2045.1,36528.6
276,38590.5,2044.6,36545.9
277,38650.0,2043.3,36606.7
278,38688.7,2042.1,36646.6
279,38748.4,2040.1,36708.3
280,38810.7,2038.6,36772.1
281,38890.1,2030.3,36859.8
282,38921.4,2030.0,36891.4
283,38951.2,2028.8,36922.4
284,38985.7,2028.6,36957.1
285,39026.7,2027.3,36999.4
286,39087.3,2026.4,37060.9
287,39149.8,2024.5,37125.3
288,39185.2,2022.3,37162.9
289,39211.2,2019.7,37191.5
290,39241.3,2016.7,37224.6
291,39377.4,2008.8,37368.6
292,39451.4,2005.5,37445.9
293,39501.0,2005.3,37495.7
294,39570.0,2002.5,37567.5
295,39618.7,2001.1,37617.6
296,39651.3,1999.5,37651.8
297,39706.4,1995.6,37710.8
298,39736.5,1993.1,37743.4
299,39768.7,1992.6,37776.1
300,39827.2,1991.7,37835.5
301,39886.1,1989.7,37896.4
302,39928.5,1988.1,37940.4
303,39979.6,1982.8,37996.8
304,40035.7,1978.9,38056.8
305,40114.8,1977.8,38137.0
306,40155.2,1976.9,38178.3
307,40191.0,1975.7,38215.3
308,40232.7,1974.3,38258.4
309,40287.3,1971.8,38315.5
310,40310.5,1970.0,38340.5
311,40364.5,1968.9,38395.6
312,40404.4,1967.0,38437.4
313,40440.5,1965.6,38474.9
314,40543.1,1962.6,38580.5
315,40607.8,1961.8,38646.0
316,40668.8,1960.6,38708.2
317,40711.6,1960.1,38751.5
318,40756.2,1959.6,38796.6
319,40809.9,1956.5,38853.4
320,40861.9,1956.3,38905.6
321,40888.9,1953.4,38935.5
322,40932.7,1951.2,38981.5
323,40968.7,1950.8,39017.9
324,41006.3,1950.5,39055.8
325,41090.8,1945.0,39145.8
326,41140.3,1942.8,39197.5
327,41190.8,1940.5,39250.3
328,41248.7,1939.1,39309.6
329,41283.6,1938.7,39344.9
330,41319.6,1936.0,39383.6
331,41377.1,1935.1,39442.0
332,41423.3,1934.4,39488.9
333,41459.8,1933.9,39525.9
334,41492.9,1930.9,39562.0
335,41536.5,1929.0,39607.5
336,41584.1,1925.0,39659.1
337,41630.9,1922.2,39708.7
338,41679.3,1919.6,39759.7
339,41719.0,1919.4,39799.6
340,41762.1,1918.3,39843.8
341,41829.9,1917.5,39912.4
342,41918.8,1915.7,40003.1
343,41945.3,1914.3,40031.0
344,41989.1,1912.6,40076.5
345,42026.9,1911.5,40115.4
346,42135.8,1908.0,40227.8
347,42173.4,1906.9,40266.5
348,42200.4,1904.9,40295.5
349,42253.7,1903.2,40350.5
350,42293.4,1899.2,40394.2
351,42342.6,1897.7,40444.9
352,42377.7,1897.2,40480.5
353,42442.3,1895.5,40546.8
354,42495.4,1893.9,40601.5
355,42540.2,1892.7,40647.5
356,42564.9,1890.3,40674.6
357,42604.9,1888.1,40716.8
358,42670.9,1885.3,40785.6
359,42728.4,1883.8,40844.6
360,42752.8,1883.1,40869.7
361,42804.8,1881.6,40923.2
362,42836.2,1881.1,40955.1
363,42896.4,1880.3,41016.1
364,42948.5,1880.2,41068.3
365,43008.6,1878.0,41130.6
366,43057.7,1877.3,41180.4
367,43116.4,1874.5,41241.9
368,43140.7,1873.2,41267.5
369,43165.6,1872.2,41293.4
370,43192.2,1869.5,41322.7
371,43222.4,1868.7,41353.7
372,43255.2,1867.8,41387.4
373,43287.1,1865.1,41422.0
374,43345.1,1862.6,41482.5
375,43446.6,1858.6,41588.0
376,43502.4,1857.4,41645.0
377,43539.2,1856.1,41683.1
378,43568.8,1853.8,41715.0
379,43585.8,1852.8,41733.0
380,43602.0,1851.8,41750.2
381,43640.9,1850.4,41790.5
382,43685.8,1850.0,41835.8
383,43964.0,1792.5,42171.5
384,43988.2,1791.8,42196.4
385,44019.5,1790.5,42229.0
386,44053.1,1790.2,42262.9
387,44085.5,1789.5,42296.0
388,44126.8,1786.8,42340.0
389,44179.5,1786.3,42393.2
